index,part_code,orientation,x_mm,y_mm,z_mm,heading_degrees,length_mm,width_mm,height_mm,turn_degrees,geometry_source
27,C8235,RIGHT,4304.245,-78.0,0,-180.0,87,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
28,C153,RIGHT,4217.245,-78.0,0,-180.0,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
29,C153,RIGHT,4130.245,-78.0,0,-157.5,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
30,C153,RIGHT,4049.867,-111.293,0,-135.0,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
31,C8205,RIGHT,3988.349,-172.812,0,-112.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
32,C8205,RIGHT,3854.41,-496.17,0,-112.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
33,C8205,RIGHT,3720.471,-819.527,0,-112.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
34,C8205,RIGHT,3586.532,-1142.885,0,-112.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
35,C8005,LEFT,3452.592,-1466.243,0,-112.5,78,78,8,-90,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
36,C8031,RIGHT,3422.743,-1538.306,0,-202.5,78,78,8,-90,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
37,C8010,LEFT,3350.68,-1508.456,0,-292.5,87,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
38,C151,LEFT,3383.974,-1428.079,0,-292.5,87,78,8,-45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
39,C151,RIGHT,3417.267,-1347.701,0,-337.5,87,78,8,45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
40,C8207,RIGHT,3497.645,-1314.408,0,-292.5,175,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
41,C153,RIGHT,3564.614,-1152.729,0,-292.5,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
42,C153,RIGHT,3597.908,-1072.351,0,-270.0,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
43,C153,RIGHT,3597.908,-985.351,0,-247.5,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
44,C153,RIGHT,3564.614,-904.974,0,-225.0,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
45,C153,RIGHT,3503.096,-843.456,0,-202.5,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
46,C153,RIGHT,3422.719,-810.162,0,-180.0,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
47,C153,RIGHT,3335.719,-810.162,0,-157.5,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
48,C153,RIGHT,3255.341,-843.456,0,-135.0,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
49,C151,RIGHT,3193.823,-904.974,0,-112.5,87,78,8,45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
50,C151,RIGHT,3160.529,-985.351,0,-67.5,87,78,8,45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
51,C8205,RIGHT,3193.823,-1065.729,0,-22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
52,C8205,RIGHT,3517.181,-1199.668,0,-22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
53,C8205,RIGHT,3840.539,-1333.607,0,-22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
54,C8205,RIGHT,4163.896,-1467.547,0,-22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
55,C8205,RIGHT,4487.254,-1601.486,0,-22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
56,C8205,RIGHT,4810.612,-1735.425,0,-22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
57,C8205,RIGHT,5133.97,-1869.364,0,-22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
58,C8205,RIGHT,5457.328,-2003.303,0,-22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
59,C8205,RIGHT,5780.686,-2137.243,0,-22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
60,C8205,RIGHT,6104.043,-2271.182,0,-22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
61,C8205,RIGHT,6427.401,-2405.121,0,-22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
62,C8205,RIGHT,6750.759,-2539.06,0,-22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
63,C8205,RIGHT,7074.117,-2672.999,0,-22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
64,C8006,RIGHT,7397.475,-2806.939,0,-22.5,87,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
65,C8031,LEFT,7477.852,-2840.232,0,-22.5,78,78,8,90,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
66,C151,LEFT,7549.915,-2870.081,0,67.5,87,78,8,-45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
67,C151,RIGHT,7583.208,-2789.704,0,22.5,87,78,8,45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
68,C151,LEFT,7663.586,-2756.41,0,67.5,87,78,8,-45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
69,C153,LEFT,7696.879,-2676.033,0,22.5,87,78,8,-22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
70,C153,RIGHT,7777.257,-2642.739,0,0.0,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
71,C153,LEFT,7864.257,-2642.739,0,22.5,87,78,8,-22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
72,C153,RIGHT,7944.634,-2609.446,0,0.0,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
73,C8236,RIGHT,8031.634,-2609.446,0,22.5,87,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
74,C8205,RIGHT,8112.012,-2576.152,0,22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
75,C8205,RIGHT,8435.37,-2442.213,0,22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
76,C8205,RIGHT,8758.728,-2308.274,0,22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
77,C8205,RIGHT,9082.085,-2174.335,0,22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
78,C8205,RIGHT,9405.443,-2040.396,0,22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
79,C8205,RIGHT,9728.801,-1906.456,0,22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
80,C8205,RIGHT,10052.159,-1772.517,0,22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
81,C8205,RIGHT,10375.517,-1638.578,0,22.5,350,78,8,0,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
82,C187,RIGHT,10698.875,-1504.639,0,22.5,87,78,8,22.5,documented fallback for unsupported C187
83,C187,RIGHT,10779.252,-1471.345,0,45.0,87,78,8,22.5,documented fallback for unsupported C187
84,C187,RIGHT,10840.77,-1409.827,0,67.5,87,78,8,22.5,documented fallback for unsupported C187
85,C187,RIGHT,10874.064,-1329.45,0,90.0,87,78,8,22.5,documented fallback for unsupported C187
86,C187,RIGHT,10874.064,-1242.45,0,112.5,87,78,8,22.5,documented fallback for unsupported C187
87,C187,RIGHT,10840.77,-1162.072,0,135.0,87,78,8,22.5,documented fallback for unsupported C187
88,C187,RIGHT,10779.252,-1100.554,0,157.5,87,78,8,22.5,documented fallback for unsupported C187
89,C156,RIGHT,10698.875,-1067.26,0,180.0,87,78,8,-45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
90,C156,RIGHT,10611.875,-1067.26,0,135.0,87,78,8,-45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
91,C156,RIGHT,10550.356,-1005.742,0,90.0,87,78,8,-45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
92,C156,RIGHT,10550.356,-918.742,0,45.0,87,78,8,-45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
93,C156,RIGHT,10611.875,-857.224,0,0.0,87,78,8,-45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
94,C156,RIGHT,10698.875,-857.224,0,-45.0,87,78,8,-45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
95,C156,RIGHT,10760.393,-918.742,0,-90.0,87,78,8,-45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
96,C151,RIGHT,10760.393,-1005.742,0,-135.0,87,78,8,45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
97,C151,RIGHT,10698.875,-1067.26,0,-90.0,87,78,8,45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
98,C151,RIGHT,10698.875,-1154.26,0,-45.0,87,78,8,45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
99,C151,RIGHT,10760.393,-1215.779,0,0.0,87,78,8,45,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
100,C153,RIGHT,10847.393,-1215.779,0,45.0,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
101,C153,RIGHT,10908.911,-1154.26,0,67.5,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
102,C153,RIGHT,10942.205,-1073.883,0,90.0,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
103,C153,RIGHT,10942.205,-986.883,0,112.5,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
104,C153,RIGHT,10908.911,-906.505,0,135.0,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
105,C153,RIGHT,10847.393,-844.987,0,157.5,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
106,C153,RIGHT,10767.015,-811.694,0,180.0,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
107,C153,RIGHT,10680.015,-811.694,0,202.5,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
108,C153,RIGHT,10599.638,-844.987,0,225.0,87,78,8,22.5,"DirectX mesh evidence present; connector geometry unavailable, using documented parametric placement envelope"
